k0h, kh
0.00000000000000000000, 0.00000000000000000000
0.00628947478196154736, 0.07938943729908014280
0.01257894956392309471, 0.11239159325198107287
0.01886842434588464207, 0.13779584929782298652
0.02515789912784618942, 0.15928055308050448335
0.03144737390980773678, 0.17826889991300520766
0.03773684869176928414, 0.19549002508830895519
0.04402632347373083149, 0.21137662712771246309
0.05031579825569237885, 0.22621035185817792157
0.05660527303765393314, 0.24018663947061491548
0.06289474781961547356, 0.25344765162445198614
0.06918422260157701398, 0.26610060705778360024
0.07547369738353856827, 0.27822872623594890884
0.08176317216550012257, 0.28989812913594448229
0.08805264694746166299, 0.30116237701679315908
0.09434212172942320340, 0.31206557267319418036
0.10063159651138475770, 0.32264454166061545815
0.10692107129334632587, 0.33293040693755077131
0.11321054607530786629, 0.34294975111215786345
0.11950002085726940670, 0.35272549103971845286
0.12578949563923094712, 0.36227754724075234005
0.13207897042119251529, 0.37162336404848023141
0.13836844520315402796, 0.38077831923923077806
0.14465791998511559613, 0.38975605054486955892
0.15094739476707713655, 0.39856871876513821906
0.15723686954903870472, 0.40722722189867188725
0.16352634433100024514, 0.41574137099034269571
0.16981581911296178555, 0.42412003573722523164
0.17610529389492332597, 0.43237126597263336736
0.18239476867688489414, 0.44050239373645871943
0.18868424345884640680, 0.44852011959144039155
0.19497371824080797498, 0.45643058605691921858
0.20126319302276951539, 0.46423944043306192286
0.20755266780473108357, 0.47195188882945660058
0.21384214258669265174, 0.47957274285663670232
0.22013161736865416440, 0.48710646016171382788
0.22642109215061573257, 0.49455717977103974548
0.23271056693257727299, 0.50192875302980455299
0.23900004171453881341, 0.50922477079035499692
0.24528951649650035383, 0.51644858739003207670
0.25157899127846189424, 0.52360334186957979696
0.25786846606042346242, 0.53069197681018920321
0.26415794084238503059, 0.53771725510753998201
0.27044741562434654325, 0.54468177495212732886
0.27673689040630805591, 0.55158798324459845652
0.28302636518826967960, 0.55843818764115893405
0.28931583997023119226, 0.56523456739602784271
0.29560531475219276043, 0.57197918314440365783
0.30189478953415427309, 0.57867398574962380930
0.30818426431611584126, 0.58532082432150145390
0.31447373909807740944, 0.59192145349867497650
0.32076321388003892210, 0.59847754007576625668
0.32705268866200049027, 0.60499066904587694982
0.33334216344396205844, 0.61146234912015673402
0.33963163822592357111, 0.61789401777862174026
0.34592111300788513928, 0.62428704589990047236
0.35221058778984665194, 0.63064274201195569258
0.35850006257180822011, 0.63696235620096641750
0.36478953735376978829, 0.64324708371131611440
0.37107901213573130095, 0.64949806826595268827
0.37736848691769281361, 0.65571640513316509224
0.38365796169965443729, 0.66190314396300475863
0.38994743648161594995, 0.66805929141410791416
0.39623691126357751813, 0.67418581358950435689
0.40252638604553903079, 0.68028363829808036201
0.40881586082750059896, 0.68635365715667628894
0.41510533560946216713, 0.69239672754629766338
0.42139481039142367980, 0.69841367443460034004
0.42768428517338530348, 0.70440529207562341263
0.43397375995534681614, 0.71037234559670126011
0.44026323473730832880, 0.71631557248155042217
0.44655270951926989698, 0.72223568395768966699
0.45284218430123146515, 0.72813336629560776458
0.45913165908319297781, 0.73400928202642390374
0.46542113386515454598, 0.73986407108418605905
0.47171060864711605864, 0.74569835187840927127
0.47800008342907762682, 0.75151272230197829760
0.48428955821103919499, 0.75730776067909100213
0.49057903299300070765, 0.76308402665753327643
0.49686850777496227582, 0.76884206204921290428
0.50315798255692378849, 0.77458239162255770882
0.50944745733888530115, 0.78030552385009444016
0.51573693212084692483, 0.78601195161425219116
0.52202640690280854852, 0.79170215287419687389
0.52831588168477006118, 0.79737659129628446486
0.53460535646673157384, 0.80303571685051700069
0.54089483124869308650, 0.80867996637520522807
0.54718430603065459916, 0.81430976411187305786
0.55347378081261611182, 0.81992552221229253462
0.55976325559457773551, 0.82552764121938881914
0.56605273037653935919, 0.83111651052363710868
0.57234220515850087185, 0.83669250879645040708
0.57863167994046238451, 0.84225600440195236285
0.58492115472242389718, 0.84780735578842969513
0.59121062950438552086, 0.85334691186066824464
0.59750010428634703352, 0.85887501233429464076
0.60378957906830854618, 0.86439198807316774964
0.61007905385027005885, 0.86989816141079234768
0.61636852863223168253, 0.87539384645666440399
0.62265800341419330621, 0.88087934938839518306
0.62894747819615481887, 0.88635496873040697796
0.63523695297811633154, 0.89182099561994077064
0.64152642776007784420, 0.89727771406106804353
0.64781590254203935686, 0.90272540116735766613
0.65410537732400098054, 0.90816432739380237305
0.66039485210596260423, 0.91359475675857748644
0.66668432688792411689, 0.91901694705516467909
0.67297380166988562955, 0.92443115005534370887
0.67926327645184714221, 0.92983761170352063896
0.68555275123380865487, 0.93523657230283829822
0.69184222601577027856, 0.94062826669348376107
0.69813170079773179122, 0.94601292442358464463
0.70442117557969330388, 0.95139076991306203990
0.71071065036165492756, 0.95676202261079001943
0.71700012514361644023, 0.96212689714538524033
0.72328959992557806391, 0.96748560346993939252
0.72957907470753957657, 0.97283834700098115178
0.73586854948950108923, 0.97818532875194685872
0.74215802427146260190, 0.98352674546141616307
0.74844749905342411456, 0.98886278971635932500
0.75473697383538562722, 0.99419365007062721062
0.76102644861734736192, 0.99951951115890558253
0.76731592339930887459, 1.00484055380633563459
0.77360539818127038725, 1.01015695513400527439
0.77989487296323189991, 1.01546888866048923283
0.78618434774519341257, 1.02077652439961896746
0.79247382252715503625, 1.02608002895464900384
0.79876329730911654892, 1.03137956560897459113
0.80505277209107806158, 1.03667529441355754649
0.81134224687303968526, 1.04196737227119684555
0.81763172165500119792, 1.04725595301778140467
0.82392119643696282161, 1.05254118750065628340
0.83021067121892433427, 1.05782322365422065680
